Symbol	Description	Raw LaTeX
⟩	Right angle bracket	\rangle
|	Vertical bar	\|
⌊	Left floor	\lfloor
⌋	Right floor	\rfloor
⌈	Left ceiling	\lceil
⌉	Right ceiling	\rceil
≮	Not less than	\nless
≯	Not greater than	\ngtr
≰	Not less than or equal to	\nleq
≱	Not greater than or equal to	\ngeq
≁	Not similar to	\nsim
≇	Not congruent to	\ncong
⇀	Right harpoon up	\rightharpoonup
⇁	Right harpoon down	\rightharpoondown
↼	Left harpoon up	\leftharpoonup
↽	Left harpoon down	\leftharpoondown
⇌	Chemical equilibrium arrow / Right harpoon up over left harpoon down	\rightleftharpoons
ℶ	Beth (Requires amssymb)	\beth
ℷ	Gimel (Requires amssymb)	\gimel
ℸ	Daleth (Requires amssymb)	\daleth
√□	Surd (square root)	\sqrt{\square}
⊤	Top	\top
⊢	Right tack	\vdash
⊣	Left tack	\dashv
⊨	Models	\models
ℓ	Cursive l	\ell
ı	Dotless i	\imath
ȷ	Dotless j	\jmath
♭	Flat	\flat
♮	Natural	\natural
♯	Sharp	\sharp
∴	Therefore	\therefore
∵	Because	\because
≍	Equivalent	\asymp
⋈	Bowtie	\bowtie
⋉	Left semidirect product (Requires amssymb)	\ltimes
⋊	Right semidirect product (Requires amssymb)	\rtimes
⊏	Square subset (Requires amssymb)	\sqsubset
⊐	Square superset (Requires amssymb)	\sqsupset
⊑	Square subset or equal (Requires amssymb)	\sqsubseteq
⊒	Square superset or equal (Requires amssymb)	\sqsupseteq
⊕	Direct sum (circled plus)	\oplus
⊖	Circled minus	\ominus
⊗	Tensor product (circled times)	\otimes
⊘	Circled slash	\oslash
⊙	Circled dot	\odot
†	Dagger	\dagger
‡	Double dagger	\ddagger
⨿	Amalgamation	\amalg
△	Big triangle up	\bigtriangleup
▽	Big triangle down	\bigtriangledown
◁	Left triangle	\triangleleft
▷	Right triangle	\triangleright
⊴	Left triangle or equal (Requires amssymb)	\unlhd
⊵	Right triangle or equal (Requires amssymb)	\unrhd
◇	Diamond (Requires amssymb)	\Diamond
□	Box (Requires amssymb)	\Box
℧	Mho (Requires amssymb)	\mho
Å	Angstrom	\mathring{A}
°C	Celsius	{}^\circ C
°	Degree	{}^\circ
$	Dollar sign	\$
£	Pound sign	\text{£}
€	Euro sign	\text{€}
¥	Yen sign	\text{¥}
¢	Cent sign	\text{¢}
%	Percent	\%
&	Ampersand	\&
#	Hash	\#
_	Underscore	\_
\	Backslash	\backslash
↑	Up arrow	\uparrow
↓	Down arrow	\downarrow
↕	Up down arrow	\updownarrow
↗	North east arrow	\nearrow
↘	South east arrow	\searrow
↙	South west arrow	\swarrow
↖	North west arrow	\nwarrow
↩	Hook left arrow	\hookleftarrow
↪	Hook right arrow	\hookrightarrow
ℰ	Euler's number (script E) / Emf / Lagrangian density	\mathcal{E}
ℱ	Fourier transform (script F)	\mathcal{F}
ℒ	Laplace transform (script L) / Lagrangian	\mathcal{L}
ℋ	Hamiltonian (script H)	\mathcal{H}
ℤ	Integers (Blackboard bold Z) (Requires amsfonts)	\mathbb{Z}
ℝ	Real numbers (Blackboard bold R) (Requires amsfonts)	\mathbb{R}
ℂ	Complex numbers (Blackboard bold C) (Requires amsfonts)	\mathbb{C}
ℚ	Rational numbers (Blackboard bold Q) (Requires amsfonts)	\mathbb{Q}
ℕ	Natural numbers (Blackboard bold N) (Requires amsfonts)	\mathbb{N}
⟨·|	Bra notation (Quantum Mechanics)	\langle \cdot \|
|·⟩	Ket notation (Quantum Mechanics)	\| \cdot \rangle
·†	Dagger / Hermitian conjugate	{\cdot}^\dagger
F	Field (Blackboard Bold) (Requires amsfonts)	\mathbb{F}
K	Field / Constant (Blackboard Bold) (Requires amsfonts)	\mathbb{K}
P	Probability operator (Requires amsfonts)	\mathbb{P}
E	Expectation operator (Requires amsfonts)	\mathbb{E}
I	Indicator function (Requires amsfonts)	\mathbb{I}
⊠	Box times (Exterior tensor product) (Requires amssymb)	\boxtimes
⊞	Box plus (Requires amssymb)	\boxplus
⋀	Wedge product (Large)	\bigwedge
⋁	Vee product (Large)	\bigvee
□̂	Wide hat accent	\widehat{\square}
□̃	Wide tilde accent	\widetilde{\square}
⏟	Underbrace with label	\underbrace{\square}_{\square}
⏞	Overbrace with label	\overbrace{\square}^{\square}
□̌	Check / Caron accent	\check{\square}
□̆	Breve accent	\breve{\square}
